,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,sunrise,sunset,daylight_duration,sunshine_duration,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant
0,2020-12-31 22:00:00+00:00,2.1585,-0.7415,1.0584999,0,0,27940.338,184.90494,0.4,0.21000001,9.585739,16.919998,196.23062
1,2021-01-01 22:00:00+00:00,2.6585,-0.99149996,0.5480833,0,0,28016.705,17784.96,0.0,0.0,9.605998,16.919998,185.11029
2,2021-01-02 22:00:00+00:00,0.8085,-0.99149996,0.13974999,0,0,28098.934,0.0,0.30000004,7.35,21.67786,37.8,51.637146
3,2021-01-03 22:00:00+00:00,1.2585001,-0.2915,0.54600006,0,0,28186.883,0.0,0.5,2.3100002,18.335276,31.68,48.38165
4,2021-01-04 22:00:00+00:00,2.6085,0.2085,1.2418333,0,0,28280.441,0.0,0.3,0.14,18.057508,30.599998,29.729658
5,2021-01-05 22:00:00+00:00,2.8585,0.70849997,1.5605835,0,0,28379.475,0.0,2.9999993,0.28,17.208603,30.239998,301.29166
6,2021-01-06 22:00:00+00:00,1.7085,0.4585,0.8980834,0,0,28483.857,0.0,0.8000001,0.28,18.511143,32.760002,248.2736
7,2021-01-07 22:00:00+00:00,1.5085001,-1.3915,0.57933336,0,0,28593.633,0.0,0.2,0.07,11.298495,20.519999,237.90437
8,2021-01-08 22:00:00+00:00,2.4085,-0.7415,0.77516675,0,0,28709.996,2349.392,0.2,0.0,10.587918,19.8,281.15457
9,2021-01-09 22:00:00+00:00,1.5085001,-0.49150002,0.6564168,0,0,28832.986,7112.7534,0.0,0.0,15.807239,26.64,239.1622
10,2021-01-10 22:00:00+00:00,2.0585,-0.5915,0.61474997,0,0,28962.29,0.0,0.0,0.77,24.774696,42.839996,216.04805
11,2021-01-11 22:00:00+00:00,2.2085001,0.108500004,1.2626666,0,0,29097.605,0.0,4.5,1.6800001,26.959166,46.44,235.2776
12,2021-01-12 22:00:00+00:00,3.0085,-0.19150001,1.1043335,0,0,29238.62,3947.3945,0.9000001,1.61,30.154163,55.079998,263.3861
13,2021-01-13 22:00:00+00:00,2.6585,-0.4415,0.9084999,0,0,29385.049,21041.572,0.0,2.52,27.77838,47.519997,327.88412
14,2021-01-14 22:00:00+00:00,0.4085,-3.1915,-0.90400004,0,0,29536.586,0.0,0.0,0.28,19.966211,34.56,341.42938
15,2021-01-15 22:00:00+00:00,-1.0415,-3.6415,-2.033167,0,0,29692.941,0.0,0.0,0.14,18.532133,33.839996,294.97714
16,2021-01-16 22:00:00+00:00,-0.49150002,-4.6915,-2.1623333,0,0,29853.832,0.0,0.0,0.0,10.661107,18.0,284.99496
17,2021-01-17 22:00:00+00:00,1.4585,-4.6915,-1.5415,0,0,30018.97,1096.5946,2.7,1.1899999,20.780453,35.64,202.21918
18,2021-01-18 22:00:00+00:00,4.7584996,1.2585001,2.3501668,0,0,30188.082,0.0,5.4,2.52,20.799152,36.0,225.21272
