,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,sunrise,sunset,daylight_duration,sunshine_duration,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant
37,2020-02-06 22:00:00+00:00,7.1584997,4.5585,5.606416,0,0,33794.496,6479.01,0.0,0.0,15.542662,26.64,299.85892
38,2020-02-07 22:00:00+00:00,8.3085,1.5585,4.6001663,0,0,34017.562,29569.852,0.0,0.0,18.175545,34.2,177.96715
39,2020-02-08 22:00:00+00:00,11.9585,4.3585,8.143917,0,0,34243.086,26494.727,2.0,0.0,40.104065,90.0,200.42036
40,2020-02-09 22:00:00+00:00,12.7085,3.8585,7.6272507,0,0,34470.8,14929.146,14.7,0.0,44.71252,92.159996,245.9382
41,2020-02-10 22:00:00+00:00,6.4585,2.8085,4.4209995,0,0,34700.47,18874.953,3.0999997,0.0,45.40569,82.079994,253.67198
42,2020-02-11 22:00:00+00:00,5.9585,2.2085001,3.835583,0,0,34931.832,29768.502,0.3,0.21000001,42.51202,83.88,255.48888
43,2020-02-12 22:00:00+00:00,5.9084997,0.70849997,3.5460002,0,0,35164.66,16364.253,1.5,0.0,25.620771,43.92,207.43059
44,2020-02-13 22:00:00+00:00,6.5084996,1.6585001,4.010583,0,0,35398.73,14616.827,1.2,0.0,12.9249525,26.28,283.81082
45,2020-02-14 22:00:00+00:00,9.1085005,2.0085,5.2939167,0,0,35633.8,15984.908,0.0,0.0,21.218632,36.719997,192.73868
46,2020-02-15 22:00:00+00:00,15.8085,6.4084997,11.354335,0,0,35869.664,378.44446,2.0,0.0,36.64404,66.24,208.60796
47,2020-02-16 22:00:00+00:00,15.9585,6.6085,9.998084,0,0,36106.1,11165.717,0.1,0.0,36.152676,63.72,236.87978
48,2020-02-17 22:00:00+00:00,8.0585,5.5084996,6.5647507,0,0,36342.914,24490.072,2.3,0.0,35.65454,65.88,246.75977
49,2020-02-18 22:00:00+00:00,6.8085,3.1585,4.9230833,0,0,36579.887,15833.244,4.2,0.07,25.922499,52.199997,245.57729
50,2020-02-19 22:00:00+00:00,6.6085,0.5085,4.2793326,0,0,36816.83,3078.1128,1.4000001,0.0,24.066206,41.399998,213.69012
51,2020-02-20 22:00:00+00:00,7.7584996,3.7585,5.9772496,0,0,37053.54,28750.662,5.2,0.0,32.23357,60.479996,258.93884
52,2020-02-21 22:00:00+00:00,11.4585,5.1584997,7.971,0,0,37289.84,15348.777,2.9,0.0,38.896664,66.24,234.14468
53,2020-02-22 22:00:00+00:00,7.5585,4.7584996,6.673084,0,0,37525.785,0.0,16.800001,0.0,31.435646,61.199997,267.47324
54,2020-02-23 22:00:00+00:00,7.2085,3.5085,5.048083,0,0,37763.35,7200.0,6.2999997,0.0,33.12978,57.6,255.02432
55,2020-02-24 22:00:00+00:00,9.8085,4.7085,8.073084,0,0,38002.832,29239.062,3.7999997,0.0,28.739187,57.6,248.48965
56,2020-02-25 22:00:00+00:00,4.4084997,1.6585001,2.8209999,0,0,38244.03,2055.4126,2.0,0.28,16.919998,31.319998,249.97783
57,2020-02-26 22:00:00+00:00,5.7085,1.1085,2.6814165,0,0,38486.75,18891.781,1.5,0.14,18.58451,37.079998,255.81749
58,2020-02-27 22:00:00+00:00,7.2085,-0.09150001,2.9814167,0,0,38730.805,28900.03,1.1,0.28,27.25559,50.399998,267.15344
59,2020-02-28 22:00:00+00:00,11.8585005,1.6085,6.4980826,0,0,38976.0,20505.48,6.100001,1.4699999,28.84721,56.16,192.57578
60,2020-02-29 22:00:00+00:00,9.9585,3.8085,6.821001,0,0,39222.168,31166.93,1.4000001,0.0,30.551254,59.399998,217.50339
61,2020-03-01 22:00:00+00:00,9.0585,3.5585,5.9793334,0,0,39469.117,16471.682,3.3,0.0,21.2522,41.039997,195.82718
62,2020-03-02 22:00:00+00:00,6.6085,2.5585,4.4210005,0,0,39716.688,0.0,1.9,0.0,20.858265,37.079998,322.4927
63,2020-03-03 22:00:00+00:00,7.9585,0.6585,3.7064168,0,0,39964.703,35266.24,0.4,0.0,17.992796,37.44,247.5439
64,2020-03-04 22:00:00+00:00,10.0585,-0.99149996,4.4585,0,0,40212.992,31407.59,0.0,0.0,19.917469,34.56,150.36856
65,2020-03-05 22:00:00+00:00,7.5585,3.9585001,5.3730836,0,0,40461.387,1479.843,6.6,0.0,20.380579,34.92,115.062454
66,2020-03-06 22:00:00+00:00,6.6584997,2.2085001,4.579333,0,0,40709.73,13239.586,2.1000001,0.0,29.758307,52.56,295.1693
67,2020-03-07 22:00:00+00:00,9.8585005,0.5085,5.1105824,0,0,40957.85,31064.79,0.0,0.0,20.570463,37.44,198.9799
68,2020-03-08 22:00:00+00:00,10.0085,5.1085,7.054334,0,0,41205.594,12053.727,1.6,0.0,13.324863,26.28,224.16791
69,2020-03-09 22:00:00+00:00,8.7585,2.7085001,5.566833,0,0,41452.8,0.0,5.4,0.0,26.807312,48.96,209.19044
70,2020-03-10 22:00:00+00:00,12.158501,7.4585,9.650167,0,0,41699.305,37002.0,3.3,0.0,30.735231,59.039997,260.73895
71,2020-03-11 22:00:00+00:00,12.4585,5.2085,9.706418,0,0,41944.957,29382.78,3.5000002,0.0,44.8153,86.03999,247.84724
72,2020-03-12 22:00:00+00:00,9.3085,3.6585,5.9459996,0,0,42189.586,32515.691,2.1,0.0,42.015255,81.72,255.67049
73,2020-03-13 22:00:00+00:00,6.7584996,-2.4415,2.7855833,0,0,42433.27,38199.25,0.0,0.0,20.948164,40.68,345.2173
74,2020-03-14 22:00:00+00:00,11.3585005,-0.3415,5.035583,0,0,42677.793,36777.906,0.0,0.0,24.490587,45.36,166.4552
75,2020-03-15 22:00:00+00:00,15.5585,2.8585,7.9876676,0,0,42923.453,38336.99,0.0,0.0,15.876775,28.08,213.43501
76,2020-03-16 22:00:00+00:00,14.6085005,1.9085001,8.116834,0,0,43170.1,31316.135,0.0,0.0,16.954432,33.48,255.14523
77,2020-03-17 22:00:00+00:00,15.7085,5.1584997,10.448085,0,0,43417.598,37508.305,0.0,0.0,20.969807,39.239998,228.86491
78,2020-03-18 22:00:00+00:00,13.5085,7.3585,10.091834,0,0,43665.785,27285.176,0.1,0.0,13.363711,29.88,301.33435
79,2020-03-19 22:00:00+00:00,8.908501,5.1584997,6.8543334,0,0,43914.535,944.9082,0.0,0.0,13.570615,23.759998,26.090055
80,2020-03-20 22:00:00+00:00,5.8585,0.5585,3.7397501,0,0,44163.684,32270.275,0.0,0.0,25.567604,46.44,43.001358
81,2020-03-21 22:00:00+00:00,4.9084997,-2.8415,1.0876666,0,0,44413.1,40280.53,0.0,0.0,21.841648,42.12,59.420845
82,2020-03-22 22:00:00+00:00,4.8585,-4.5915003,-0.12691672,0,0,44662.645,40720.777,0.0,0.0,13.358861,29.16,93.034256
83,2020-03-23 22:00:00+00:00,6.4084997,-4.4415,0.7168331,0,0,44912.16,40970.023,0.0,0.0,15.124284,33.12,112.5025
84,2020-03-24 22:00:00+00:00,8.0585,-2.7415,2.1105833,0,0,45161.51,41218.605,0.0,0.0,19.08,36.719997,101.49753
85,2020-03-25 22:00:00+00:00,9.8585005,-1.5415,4.171,0,0,45410.547,41466.383,0.0,0.0,20.532627,37.44,89.21597
86,2020-03-26 22:00:00+00:00,14.7585,2.5085,7.98975,0,0,45659.125,41713.207,0.0,0.0,14.182355,28.08,56.6101
87,2020-03-27 22:00:00+00:00,13.5585,1.4585,7.241833,0,0,45907.086,41874.855,0.0,0.0,18.692286,33.839996,351.80478
88,2020-03-28 22:00:00+00:00,5.1085,-1.5914999,2.9085,0,0,46154.293,4982.5244,1.5,0.0,30.631746,54.36,2.7163436
89,2020-03-29 22:00:00+00:00,3.1585,-3.9415,-0.17483331,0,0,46400.58,23540.707,0.0,0.84,22.963936,41.760002,281.03244
90,2020-03-30 22:00:00+00:00,3.8085,-2.6915,0.77933335,0,0,46645.797,17846.363,0.0,0.0,14.05845,28.8,4.0620685
91,2020-03-31 22:00:00+00:00,8.5085,-1.9914999,3.1814165,0,0,46889.785,38576.824,0.0,0.0,19.562946,37.44,254.54001
92,2020-04-01 22:00:00+00:00,9.1085005,2.2085001,6.060583,0,0,47132.383,24298.48,0.0,0.0,21.933426,42.12,254.7183
93,2020-04-02 22:00:00+00:00,9.9585,2.3585,6.95225,0,0,47373.64,26215.428,0.0,0.0,25.516865,46.44,275.67642
94,2020-04-03 22:00:00+00:00,11.3085,1.8585,6.7814164,0,0,47615.25,41228.527,0.0,0.0,11.113451,25.199999,240.76428
95,2020-04-04 22:00:00+00:00,15.0585,0.95849997,7.808501,0,0,47857.492,43333.938,0.0,0.0,19.08,37.8,118.537056
96,2020-04-05 22:00:00+00:00,20.1085,4.8585,11.764751,0,0,48100.227,43576.746,0.0,0.0,20.724247,39.6,145.55133
97,2020-04-06 22:00:00+00:00,18.6085,5.3585,11.868918,0,0,48343.316,43598.734,0.0,0.0,16.548256,32.399998,327.14743
98,2020-04-07 22:00:00+00:00,20.9085,5.1584997,12.385583,0,0,48586.625,43713.88,0.0,0.0,12.849528,24.119999,103.35196
99,2020-04-08 22:00:00+00:00,17.6085,7.2584996,11.804334,0,0,48830.0,42718.57,0.0,0.0,22.691423,43.199997,322.77026
100,2020-04-09 22:00:00+00:00,14.658501,2.2585,8.721,0,0,49073.293,43744.58,0.0,0.0,14.417988,24.48,325.80154
101,2020-04-10 22:00:00+00:00,14.2085,0.5585,7.723084,0,0,49316.363,44283.535,0.0,0.0,9.007196,16.199999,37.897568
102,2020-04-11 22:00:00+00:00,21.8085,2.6585,12.360584,0,0,49559.055,44378.805,0.0,0.0,15.2947035,27.359999,208.7947
103,2020-04-12 22:00:00+00:00,10.7585,2.8585,7.8460007,0,0,49801.207,33264.535,1.1,0.0,27.661497,51.839996,321.09122
104,2020-04-13 22:00:00+00:00,9.8085,0.4085,5.7564178,0,0,50042.668,41701.242,0.0,0.0,21.94524,42.12,302.20865
105,2020-04-14 22:00:00+00:00,14.5585,4.5585,8.862667,0,0,50283.26,41671.363,0.0,0.0,24.648829,46.8,273.16376
106,2020-04-15 22:00:00+00:00,16.758501,4.8085,11.125167,0,0,50522.83,41602.695,0.0,0.0,15.893093,32.039997,286.38498
