,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,sunrise,sunset,daylight_duration,sunshine_duration,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant
0,2021-12-31 22:00:00+00:00,12.1085005,9.158501,11.029335,0,0,27912.674,0.0,0.6,0.0,23.444265,42.48,262.88788
1,2022-01-01 22:00:00+00:00,11.7085,7.7085,9.533502,0,0,27985.81,69.08267,2.3000002,0.0,29.168886,48.6,224.8008
2,2022-01-02 22:00:00+00:00,10.1085005,6.3585,8.343917,0,0,28065.152,9149.824,2.8999999,0.0,36.44722,61.920002,250.978
3,2022-01-03 22:00:00+00:00,7.2584996,5.2085,6.125166,0,0,28151.584,0.0,2.3,0.0,16.24394,29.519999,235.24161
4,2022-01-04 22:00:00+00:00,4.6584997,2.4585001,3.643917,0,0,28245.076,14353.963,0.7,0.0,29.47826,53.28,249.72536
5,2022-01-05 22:00:00+00:00,3.6585,-2.9415,0.24183337,0,0,28345.37,23047.928,0.2,0.0,23.166218,39.96,285.84995
6,2022-01-06 22:00:00+00:00,2.5585,-1.9415,0.37725008,0,0,28452.191,1718.8044,0.6,0.0,20.724247,40.32,204.57881
7,2022-01-07 22:00:00+00:00,2.7585,-1.0415,0.6043332,0,0,28565.283,20528.53,0.29999998,0.35,17.654688,32.399998,213.12459
8,2022-01-08 22:00:00+00:00,2.3085,-1.5914999,0.51475006,0,0,28684.371,330.51752,0.3,0.0,21.028437,34.92,148.61253
9,2022-01-09 22:00:00+00:00,4.2584996,-0.3915,2.7022502,0,0,28809.197,0.0,0.5,0.0,12.849528,21.599998,252.3495
10,2022-01-10 22:00:00+00:00,-0.54150003,-4.8415003,-2.2956667,0,0,28939.482,14481.535,0.0,0.0,12.522619,24.48,133.50575
11,2022-01-11 22:00:00+00:00,2.1585,-2.4915,0.008500074,0,0,29074.984,0.0,0.0,0.0,16.343367,27.359999,239.91289
12,2022-01-12 22:00:00+00:00,5.4585,1.9585,3.6980832,0,0,29215.434,3576.8042,0.0,0.0,23.051247,42.839996,263.3747
13,2022-01-13 22:00:00+00:00,6.9084997,1.6585001,4.8939166,0,0,29360.574,0.0,0.1,0.0,32.48788,56.519997,277.44403
14,2022-01-14 22:00:00+00:00,2.9585001,-1.1915,0.42933336,0,0,29510.152,14457.759,0.0,0.0,10.948973,20.519999,269.8885
15,2022-01-15 22:00:00+00:00,3.8585,-1.5914999,1.1105833,0,0,29663.924,0.0,0.3,0.0,23.623243,41.039997,237.48546
16,2022-01-16 22:00:00+00:00,5.8585,-0.79150003,3.8918335,0,0,29821.643,13397.163,2.1,0.0,36.016193,65.159996,287.87878
17,2022-01-17 22:00:00+00:00,5.6085,-1.2915,2.2147498,0,0,29983.066,7733.43,0.0,0.0,17.377226,29.519999,281.2344
